site_name,number_of_encounters,state,county
ERO - PACIFIC ENFORCEMENT RESPONSE CENTER,335887,,
LAW ENFORCEMENT SUPPORT CENTER - ERO,6765,,
ICE ERO - MOUNT LAUREL NJ SUB-OFC,5639,,
BATAVIA CMD CTR NY DCO,3804,,
BENTON COUNTY SHERIFF'S OFFICE,2419,,
JACKSONVILLE SHERIFF'S OFFICE,2364,,
"ERO - SALISBURY, MD SUB OFFICE",1577,MD,
"AGANA, GUAM, DOCKET CONTROL OFFICE",1116,,
DESERT VIEW ANNEX,1092,,
"ERO - TWIN FALLS, IDAHO SUB OFFICE",907,,
ICE ERO MIAMI PANAMA CITY BEACH SUB-OFFICE,876,,
"ERO - SANTA MARIA, CA SUB-OFFICE",797,CA,
"ERO - IMPERIAL, CA SUB OFFICE",772,CA,
ICE ERO MIAMI PENSACOLA SUB-OFFICE,733,,
GEORGIA DEPARTMENT OF CORRECTIONS,692,,
BLUEBONNET DETENTION CENTER,674,,
ERO - OTERO COUNTY PROCESSING CENTER,632,,
"ERO - SOUTH TEXAS, TX DETENTION FACILITY",629,TX,
"DALLAS EAST, MCAT",608,,
"NEWBURGH NY, SUB-OFFICE",606,,
FREDERICK COUNTY SHERIFF'S OFFICE,594,,
YORK COUNTY SHERIFF'S OFFICE,581,,
FERNDALE SUB OFFICE DCO,527,,
PRAIRIELAND DETENTION CENTER,517,,
ARIZONA DEPARTMENT OF CORRECTIONS,504,,
"ERO - IDAHO FALLS, IDAHO SUB OFFICE",484,,
CLAY COUNTY SHERIFF'S OFFICE,380,,
MOSHANNON VALLEY PROCESSING CENTER,368,,
KNOX COUNTY SHERIFF'S OFFICE,334,,
"US VIRGIN ISLANDS, CHARLOTTE AMALIE, DOCKET CONTROL OFFICE",318,,
ERO - FLOYD COUNTY SHERIFF'S OFFICE,301,,
"ERO - KARNES CITY, TX SUB-OFFICE",276,TX,
MASSACHUSETTS DEPARTMENT OF CORRECTION,272,,
MONTGOMERY COUNTY SHERIFF'S OFFICE,255,,
HALL COUNTY SHERIFF'S OFFICE,208,,
SOUTH TEXAS FAMILY RESIDENTIAL CENTER,167,,
HENDERSON COUNTY SHERIFF'S OFFICE,166,,
EAST BATON ROUGE PARISH SHERIFF'S OFFICE,162,,
"ERO - HUTTO, TX SUB OFFICE",134,TX,
ICE ERO LAS CRUCES SUB OFFICE,114,,
FOLKSTON ICE PROCESSING CENTER,113,,
DILLEY IMMIGRATION PROCESSING CENTER,73,,
EDEN DETENTION CENTER,67,,
"ERO - OTAY CCA FACILITY, CA SUB OFFICE",57,CA,
POTTER COUNTY SHERIFF'S OFFICE,32,,
GREENE COUNTY SHERIFF'S OFFICE,26,,
HSI RAC VENTURA CA,25,,
HSI RAC BIRMINGHAM AL,21,,
HSI SAC SAN ANTONIO,19,,
HSI RAC OK CITY OK,18,,
HSI RAC SPRINGFIELD MO,15,,
HSI RAC HARLINGEN TX,13,,
"WASHINGTON DC, (HQ) OFFICE OF DETENTION AND REMOVAL OPERATIONS",9,,
HSI SAC SAN JUAN,9,,
HARRIS COUNTY SHERIFF'S OFFICE,8,,
HSI SAC HOUSTON,6,,
HSI RA DULUTH MN,6,,
HSI ASAC PORTLAND OR,6,,
BUTLER COUNTY SHERIFF'S OFFICE,5,,
CITY OF MESA POLICE DEPARTMENT,5,,
"SAN BERNADINO, CA, SUB-OFFICE",5,CA,
HSI SAC DALLAS,5,,
HSI SAC PHOENIX AZ,4,,
EL PASO PROCESSING CENTER,4,,
HSI SAC CHARLOTTE NC,3,,
HSI SAC CHICAGO,3,,
HSI SAC ATLANTA,3,,
WENATCHEE DUTY POST,3,,
HSI SAC ST. PAUL,3,,
HSI SAC LOS ANGELES,3,,
HSI RAC MCALLEN TX,3,,
HSI RAC FT. MYERS FL,3,,
HSI RAC KNOXVILLE TN,2,,
"DULLES INTERNATIONAL AIRPORT, WASHINGTON DC, POE",2,,
GIBRALTAR BORDER PATROL STATION,2,,
HSI SAC TAMPA,2,,
HSI SAC EL PASO,2,,
WALKER COUNTY SHERIFF'S OFFICE,2,,
HSI RA PANAMA CITY FL,1,,
BAKERSFIELD CA IHP,1,,
HSI RA BATON ROUGE LA,1,,
ERO - FUGITIVE OPERATIONS SUPPORT CENTER,1,,
CHAMBERS COUNTY SHERIFF'S OFFICE,1,,
HSI RAC GRAND RAPIDS MI,1,,
HSI RAC GRAND FORKS ND,1,,
HSI RAC AUSTIN TX,1,,
HSI RAC KALISPELL MT,1,,
HSI RAC HOUMA LA,1,,
HSI RAC MEMPHIS TN,1,,
HSI RAC MONTGOMERY AL,1,,
HSI RAC O'HARE IL,1,,
HSI SAC NASHVILLE TN,1,,
HSI SAC MIAMI,1,,
HSI SAC HONOLULU HI,1,,
HSI RAC ROSWELL,1,,
HSI RAC ORLANDO FL,1,,
HSI RAC ST. LOUIS MO,1,,
HSI RAC CLEVELAND OH,1,,
HSI RAC ALBANY NY,1,,
"KANSAS CITY MO, POE",1,,
HSI SAC SAN DIEGO,1,,
HSI SAC SEATTLE,1,,
HSI SAC WASHINGTON DC,1,,
RAC ATLANTIC CITY,1,,
ORANGE COUNTY SHERIFF'S OFFICE,1,,
"MIAMI INTERNATIONAL AIRPORT, MIAMI FLORIDA, POE",1,,
TERRELL COUNTY SHERIFF'S OFFICE,1,,
